title,price,rating,reviews,availability
PlayStation®5 console (slim) with EA SPORTS College Football 25,,4.8 out of 5 stars,13 ratings,In Stock
PlayStation 5 Digital Edition - CFI-1102B,,4.7 out of 5 stars,839 ratings,Only 7 left in stock - order soon.
$150 PlayStation Store Gift Card [Digital Code],,4.4 out of 5 stars,"251,920 ratings",Available now
$250 PlayStation Store Gift Card [Digital Code],,4.4 out of 5 stars,"251,920 ratings",Available now
"WD_BLACK 2TB SN850P NVMe M.2 SSD Officially Licensed Storage Expansion for PS5 Consoles, up to 7,300MB/s, with heatsink - WDBBYV0020BNC-WRSN",,4.6 out of 5 stars,"4,632 ratings",In Stock
PlayStation 5 (Slim) - (Renewed Premium),,4.4 out of 5 stars,9 ratings,Not Available
PlayStation PULSE Elite Wireless Headset,,4.0 out of 5 stars,994 ratings,In Stock
$200 PlayStation Store Gift Card [Digital Code],,4.4 out of 5 stars,"251,920 ratings",Available now
PlayStation DualSense Wireless Controller – Gray Camouflage,,4.4 out of 5 stars,"7,504 ratings",
Dragon Ball Sparking! ZERO Ultimate Edition PS5,,4.4 out of 5 stars,,"This item will be released on October 8, 2024."
"Seagate Game Drive for PS5 5TB External HDD - USB 3.0, Officially Licensed, Blue LED (STLV5000100)",,4.3 out of 5 stars,323 ratings,In Stock
"Cooling Station for PS5 Stand with Controller Charging Station for Playstation 5 Console Disc/Digital, Cooling Stand for PS5 Cooler Fan Accessories for PS5 with 3 USB Hubs (Not for PS5 Slim Versions)",,4.6 out of 5 stars,176 ratings,In Stock
"Game Console Backpack Compatible with Sony PlayStation 5 Console, Protective Travel Carrying Case for PS5 with USB Port for Headset,Game Discs and Accessories",,4.6 out of 5 stars,12 ratings,In Stock
Minecraft - PlayStation 5,,4.4 out of 5 stars,,"This item will be released on October 22, 2024."
EA SPORTS College Football 25 - PlayStation 5,,4.4 out of 5 stars,600 ratings,In Stock
PlayStation®5 console (slim),,4.4 out of 5 stars,"7,881 ratings",Only 8 left in stock - order soon.
"NUBWO G06 Dual Wireless Gaming Headset with Microphone for PS5, PS4, PC, Mobile, Switch: 2.4GHz Wireless + Bluetooth - 100 Hr Battery - 50mm Drivers - Orange",,4.3 out of 5 stars,"10,717 ratings",In Stock
"Playstation 5 Disc Version PS5 Console - 4K-TV Gaming.120Hz 8K Output, 16GB GDDR6, 825GB. SSD, WiFi 6, Bluetooth *5.1",,4.4 out of 5 stars,7 ratings,Not Available
"PS5/ PS5 Slim Stand for Disc & Digital Console, PS5 Cooling & Charging Station with 3-Level Fan & RGB LED, PS5 Controller Charger for PS5 & Edge Controller, PS5/Slim Accessories with 3 Charging Ports",,4.7 out of 5 stars,529 ratings,In Stock
15.6inch FHD 1080P Portable Monitor with Cover and Speakers HDMI Gaming Ultra-Slim IPS External Screen for PC Phone Mac Laptop Display Game Xbox PS4/5 Switch,,5.0 out of 5 stars,1 rating,Only 8 left in stock - order soon.
"Cooling Station for PS5 Slim(Digital/Disc),Dual Fast Controller Charging Station, PS5 Accessories:2 Hour Fast Controller Charger,Cooling Fans,Headset Holder,RGB Light&3 USB Port，Gift for Gamer",,4.6 out of 5 stars,12 ratings,In Stock
